langs,neighbour,i
'Are'are,Lau,1
'Are'are,Arosi,2
'Are'are,Gela,3
'Are'are,Roviana,4
'Are'are,Kwaio,5
'Are'are,Nakanai,6
'Are'are,Futuna-Aniwa,7
'Are'are,Toaripi,8
'Are'are,Mota,9
'Are'are,Mailu,10
Abua,Izon,1
Abua,Tee,2
Abua,Igbo,3
Abua,Bassa,4
Abua,Tangale,5
Abua,Urhobo,6
Abua,Chung,7
Abua,Ncane-Mungong,8
Abua,Kinshasa Lingala,9
Abua,Esan,10
Adnyamathanha,Martu Wangka,1
Adnyamathanha,Wirangu,2
Adnyamathanha,Western Victoria,3
Adnyamathanha,Warlpiri,4
Adnyamathanha,Kumbainggar,5
Adnyamathanha,Yankunytjatjara,6
Adnyamathanha,Tweed-Albert,7
Adnyamathanha,Jingulu,8
Adnyamathanha,Muruwari,9
Adnyamathanha,Nugunu,10
Afrikaans,Norwegian,1
Afrikaans,Danish,2
Afrikaans,Finnish,3
Afrikaans,Polish,4
Afrikaans,Hungarian,5
Afrikaans,Swedish,6
Afrikaans,Slovenian,7
Afrikaans,Russian,8
Afrikaans,French,9
Afrikaans,Spanish,10
Agusan Manobo,Western Bukidnon Manobo,1
Agusan Manobo,Paiwan,2
Agusan Manobo,Casiguran-Nagtipunan Agta,3
Agusan Manobo,Tboli,4
Agusan Manobo,Central Bontoc,5
Agusan Manobo,Tetum,6
Agusan Manobo,Chepang,7
Agusan Manobo,Maguindanao,8
Agusan Manobo,Nung,9
Agusan Manobo,Pampanga,10
Ahtena,Tanacross,1
Ahtena,Central Siberian Yupik,2
Ahtena,Aleut,3
Ahtena,Navajo,4
Ahtena,Dena'ina,5
Ahtena,Western Canadian Inuktitut,6
Ahtena,Northwest Sahaptin,7
Ahtena,Seneca,8
Ahtena,Jicarilla Apache,9
Ahtena,Nuu-chah-nulth,10
Akan,Efik,1
Akan,Ewe,2
Akan,Yoruba,3
Akan,Mungaka,4
Akan,Herero,5
Akan,East Limba,6
Akan,Western Temne,7
Akan,Nupe-Nupe-Tako,8
Akan,Tee,9
Akan,Bini,10
Akawaio-Ingariko,Warao,1
Akawaio-Ingariko,Mbay,2
Akawaio-Ingariko,Mag-Anchi Ayta,3
Akawaio-Ingariko,Sinaugoro,4
Akawaio-Ingariko,Rongga,5
Akawaio-Ingariko,Kómnjo,6
Akawaio-Ingariko,Arta,7
Akawaio-Ingariko,Mansaka,8
Akawaio-Ingariko,Lokono,9
Akawaio-Ingariko,Agusan Manobo,10
Akha,Rungus,1
Akha,Hmong Daw,2
Akha,Hmong Njua,3
Akha,Nung,4
Akha,Yao,5
Akha,Paiwan,6
Akha,Western Bukidnon Manobo,7
Akha,Tboli,8
Akha,Central Bontoc,9
Akha,Mising-Padam-Miri-Minyong,10
Akkadian,Sumerian,1
Akkadian,Egyptian,2
Akkadian,Assyrian Neo-Aramaic,3
Akkadian,Sabaic,4
Akkadian,Old Khmer,5
Akkadian,Jewish Babylonian Aramaic,6
Akkadian,Ancient Hebrew,7
Akkadian,Judeo-Yemeni Arabic,8
Akkadian,Leh Ladakhi,9
Akkadian,Southern Hindko,10
Alabama,Koasati,1
Alabama,Creek,2
Alabama,Northwest Sahaptin,3
Alabama,Havasupai-Walapai-Yavapai,4
Alabama,Cahuilla,5
Alabama,Eastern Ojibwa,6
Alabama,Comanche,7
Alabama,Navajo,8
Alabama,Shoshoni,9
Alabama,Yaqui,10
Aleut,Central Siberian Yupik,1
Aleut,Kwak'wala,2
Aleut,Nuu-chah-nulth,3
Aleut,Ahtena,4
Aleut,Dena'ina,5
Aleut,Tanacross,6
Aleut,Upper Chehalis,7
Aleut,Bella Coola,8
Aleut,Squamish,9
Aleut,Haisla,10
Amharic,Tigrinya,1
Amharic,Ndonga,2
Amharic,West Central Oromo,3
Amharic,Judeo-Yemeni Arabic,4
Amharic,Western Parbate Kham,5
Amharic,Mushungulu,6
Amharic,Luo,7
Amharic,Standard Arabic,8
Amharic,Lundayeh,9
Amharic,Bulgarian,10
Ancient Hebrew,Neo-Mandaic,1
Ancient Hebrew,Classical Syriac,2
Ancient Hebrew,Modern Hebrew,3
Ancient Hebrew,Tamambo,4
Ancient Hebrew,Sabaic,5
Ancient Hebrew,Assyrian Neo-Aramaic,6
Ancient Hebrew,Egyptian,7
Ancient Hebrew,Jewish Babylonian Aramaic,8
Ancient Hebrew,Geez,9
Ancient Hebrew,Sumerian,10
Andalusian Arabic,Judeo-Yemeni Arabic,1
Andalusian Arabic,Jewish Babylonian Aramaic,2
Andalusian Arabic,Aromanian,3
Andalusian Arabic,Turkish,4
Andalusian Arabic,Egyptian Arabic,5
Andalusian Arabic,Ladino,6
Andalusian Arabic,Khotanese,7
Andalusian Arabic,Western Neo-Aramaic,8
Andalusian Arabic,Central Kurdish,9
Andalusian Arabic,Standard Arabic,10
Aneityum,Futuna-Aniwa,1
Aneityum,Mele-Fila,2
Aneityum,Sie,3
Aneityum,Mailu,4
Aneityum,Lenakel,5
Aneityum,Vurës,6
Aneityum,Dakaka,7
Aneityum,Gela,8
Aneityum,Mota,9
Aneityum,Lou,10
Angguruk Yali,Wampar,1
Angguruk Yali,Yabem,2
Angguruk Yali,Kómnjo,3
Angguruk Yali,Telefol,4
Angguruk Yali,West Kewa,5
Angguruk Yali,Fuyug,6
Angguruk Yali,Yagaria,7
Angguruk Yali,Kalam,8
Angguruk Yali,Terei,9
Angguruk Yali,Selepet,10
Anufo,Gikyode,1
Anufo,Tumulung Sisaala,2
Anufo,Buli,3
Anufo,Tampulma,4
Anufo,Mandinka,5
Anufo,Mungaka,6
Anufo,Mbay,7
Anufo,Dagbani,8
Anufo,Mampruli,9
Anufo,Gade,10
Ao Naga,S'gaw Karen,1
Ao Naga,Ho,2
Ao Naga,Sundanese,3
Ao Naga,Mizo,4
Ao Naga,Nyanja,5
Ao Naga,Southern Jinghpaw,6
Ao Naga,Kurukh,7
Ao Naga,Rabha,8
Ao Naga,Tuwali Ifugao,9
Ao Naga,Shan,10
Arapaho,Northwest Sahaptin,1
Arapaho,Havasupai-Walapai-Yavapai,2
Arapaho,Tanacross,3
Arapaho,Jicarilla Apache,4
Arapaho,Comanche,5
Arapaho,Kwak'wala,6
Arapaho,Navajo,7
Arapaho,Yaqui,8
Arapaho,Shoshoni,9
Arapaho,Western Apache,10
Arikara,Comanche,1
Arikara,Creek,2
Arikara,Northwest Sahaptin,3
Arikara,Havasupai-Walapai-Yavapai,4
Arikara,Osage,5
Arikara,Alabama,6
Arikara,Navajo,7
Arikara,Koasati,8
Arikara,Cahuilla,9
Arikara,Tanacross,10
Aromanian,Breton,1
Aromanian,Plautdietsch,2
Aromanian,Ladino,3
Aromanian,Eastern Yiddish,4
Aromanian,Spanish,5
Aromanian,Moroccan Arabic,6
Aromanian,Sicilian,7
Aromanian,Kuanyama,8
Aromanian,French,9
Aromanian,North Azerbaijani,10
Arosi,Lau,1
Arosi,Gela,2
Arosi,'Are'are,3
Arosi,Roviana,4
Arosi,Mota,5
Arosi,Bughotu,6
Arosi,Toaripi,7
Arosi,Futuna-Aniwa,8
Arosi,Mailu,9
Arosi,Kwaio,10
Arta,Northern Alta,1
Arta,Mag-Anchi Ayta,2
Arta,Mansaka,3
Arta,Rongga,4
Arta,Larike-Wakasihu,5
Arta,Casiguran-Nagtipunan Agta,6
Arta,Tboli,7
Arta,Akawaio-Ingariko,8
Arta,Thao,9
Arta,Muna,10
Assamese,Gujarati,1
Assamese,Bodo-Mech,2
Assamese,Odia,3
Assamese,Manipuri,4
Assamese,Bengali,5
Assamese,Marathi,6
Assamese,Kok Borok,7
Assamese,Hindi,8
Assamese,Eastern Panjabi,9
Assamese,Tamil,10
Assyrian Neo-Aramaic,Sabaic,1
Assyrian Neo-Aramaic,Jewish Babylonian Aramaic,2
Assyrian Neo-Aramaic,Akkadian,3
Assyrian Neo-Aramaic,Sumerian,4
Assyrian Neo-Aramaic,Neo-Mandaic,5
Assyrian Neo-Aramaic,Ancient Hebrew,6
Assyrian Neo-Aramaic,Egyptian,7
Assyrian Neo-Aramaic,Khotanese,8
Assyrian Neo-Aramaic,Old Khmer,9
Assyrian Neo-Aramaic,Old Chinese,10
Ata,Sinaugoro,1
Ata,Enga,2
Ata,Lou,3
Ata,Fuyug,4
Ata,Kómnjo,5
Ata,Telefol,6
Ata,Misima-Paneati,7
Ata,'Are'are,8
Ata,West Kewa,9
Ata,Nen,10
Atakapa,Shoshoni,1
Atakapa,Tonkawa,2
Atakapa,Koasati,3
Atakapa,Upper Chehalis,4
Atakapa,Powhatan,5
Atakapa,Coast Miwok,6
Atakapa,Pidgin Chinook Jargon,7
Atakapa,Louisiana Creole French,8
Atakapa,Osage,9
Atakapa,Jicarilla Apache,10
Atayal,Cayubaba,1
Atayal,Suau,2
Atayal,Chantyal,3
