word,neighbour,i
taro,pandanus,1
taro,breadfruit,2
taro,reef,3
taro,coconuts,4
taro,bananas,5
taro,shell,6
taro,banana,7
taro,crab,8
taro,pig,9
taro,coconut,10
china,characters,1
china,dynasty,2
china,jade,3
china,classics,4
china,dumplings,5
china,strokes,6
china,diagrams,7
china,chopsticks,8
china,bandits,9
china,dragon,10
reef,breadfruit,1
reef,canoes,2
reef,canoe,3
reef,pandanus,4
reef,shark,5
reef,coral,6
reef,crab,7
reef,octopus,8
reef,taro,9
reef,coconuts,10
canoe,canoes,1
canoe,paddle,2
canoe,reef,3
canoe,breadfruit,4
canoe,fishing,5
canoe,fish,6
canoe,shark,7
canoe,beach,8
canoe,pandanus,9
canoe,paddling,10
rum,oculis,1
rum,senate,2
rum,senators,3
rum,capitol,4
rum,legion,5
rum,urn,6
rum,magistrates,7
rum,stoic,8
rum,muses,9
rum,legions,10
dean,highlands,1
dean,shrieking,2
dean,lounging,3
dean,plaid,4
dean,sneaking,5
dean,shrugging,6
dean,grudging,7
dean,shocks,8
dean,peat,9
dean,surly,10
elephant,elephants,1
elephant,peacock,2
elephant,ascetic,3
elephant,worlds,4
elephant,jasmine,5
elephant,planet,6
elephant,nectar,7
elephant,observance,8
elephant,mansion,9
elephant,churning,10
citizen,citizenship,1
citizen,comedy,2
citizen,consulate,3
citizen,colony,4
citizen,architect,5
citizen,senate,6
citizen,cavalry,7
citizen,legion,8
citizen,propose,9
citizen,declare,10
perch,chestnut,1
perch,quest,2
perch,bench,3
perch,soften,4
perch,spur,5
perch,skim,6
perch,hinge,7
perch,muzzle,8
perch,tiresome,9
perch,decoy,10
magistrate,magistrates,1
magistrate,emperors,2
magistrate,posterity,3
magistrate,philosophers,4
magistrate,surname,5
magistrate,punishment,6
magistrate,publish,7
magistrate,extravagant,8
magistrate,emperor,9
magistrate,soldiers,10
cable,bracket,1
cable,rack,2
cable,pump,3
cable,convoy,4
cable,annuity,5
cable,crew,6
cable,gallery,7
cable,gauge,8
cable,buoy,9
cable,cancel,10
trick,sly,1
trick,nonsense,2
trick,fancy,3
trick,whim,4
trick,lock,5
trick,polish,6
trick,prank,7
trick,fool,8
trick,tack,9
trick,tiresome,10
wake,wash,1
wake,pick,2
wake,sleepy,3
wake,tired,4
wake,shave,5
wake,whistle,6
wake,choke,7
wake,drown,8
wake,spoon,9
wake,chop,10
rack,cable,1
rack,convoy,2
rack,buckle,3
rack,shuffle,4
rack,bracket,5
rack,fray,6
rack,veal,7
rack,quarry,8
rack,retailer,9
rack,collar,10
card,boarding,1
card,traffic,2
card,heater,3
card,directory,4
card,battery,5
card,savings,6
card,engine,7
card,desk,8
card,customer,9
card,engineer,10
urn,oculis,1
urn,rum,2
urn,senate,3
urn,stoic,4
urn,senators,5
urn,capitol,6
urn,magistrates,7
urn,legion,8
urn,medic,9
urn,publics,10
slave,slaves,1
slave,companion,2
